# ID, Name,            Jname,              LV,   HP,   SP,   EXP,   JEXP,     Range1, ATK1,  ATK2,  DEF,  MDEF,  STR,   AGI,   VIT,   INT,   DEX,   LUK,   Range2,Range3,   Scale, Race,  Element,Mode,    Speed,  Adelay,  Amotion, Dmotion,     Drop1id,Drop1per,  Drop2id,Drop2per,  Drop3id,Drop3per,  Drop4id,Drop4per,  Drop5id,Drop5per,  Drop6id,Drop6per,  Drop7id,Drop7per,  Drop8id,Drop8per,   MEXP,   ExpPer,   MVP1id,MVP1per,   MVP2id,MVP2per,   MVP3id,MVP3per,   mutation count,   mutation strength
1002, Piou,            Piou,               1,    12,   0,    1,     0,        1,      1,     4,     0,    0,     1,     1,     1,     1,     6,     1,     1,     1000,     0,     2,     24,     4194433, 800,    1872,    672,     480,         701,    2300,      505,    2700,      0,      0,         0,      0,         0,      0,         0,      0,         0,      0,         0,      0,          0,      0,        ,     ,           ,      ,          ,     ,           2,                5
1003, Piousse,         Piousse,            3,    40,   0,    2,     0,        1,      5,     8,     1,    0,     2,     1,     1,     1,     6,     1,     1,     1000,     0,     2,     24,     4194433, 800,    1872,    672,     480,         703,    4000,      505,    3000,      701,    3000,      0,      0,         0,      0,         0,      0,         0,      0,         0,      0,          0,      0,        ,     ,           ,      ,          ,     ,           2,                5
1004, Tortuga,         Tortuga,            5,    60,   0,    4,     0,        1,      8,     13,    5,    0,     4,     1,     1,     1,     8,     5,     1,     1,        0,     2,     21,     641,     900,    1872,    672,     480,         702,    1880,      506,    1800,      709,    1000,      503,    800,       508,    500,       509,    500,       708,    500,       0,      0,          0,      0,        ,     ,           ,      ,          ,     ,           3,                5
1005, Ratto,           Ratto,              7,    80,   0,    5,     0,        1,      10,    15,    2,    0,     5,     10,    1,     1,     6,     5,     1,     1,        0,     2,     25,     643,     400,    1872,    672,     480,         504,    2000,      705,    1000,      704,    700,       507,    700,       0,      0,         0,      0,         0,      0,         0,      0,          0,      0,        ,     ,           ,      ,          ,     ,           3,                5
1006, Croc,            Croc,               12,   180,  0,    14,    0,        1,      30,    45,    10,   0,     10,    1,     2,     1,     10,    10,    1,     1,        0,     2,     21,     641,     800,    1872,    672,     480,         706,    2000,      712,    1300,      509,    1800,      508,    700,       711,    500,       0,      0,         0,      0,         0,      0,          0,      0,        ,     ,           ,      ,          ,     ,           3,                5
1007, LittleBlub,      Little Blub,        9,    120,  0,    8,     0,        1,      18,    28,    4,    0,     3,     7,     5,     1,     12,    7,     1,     1,        0,     2,     21,     393857,  500,    1872,    672,     480,         700,    1500,      510,    1500,      509,    1500,      508,    1000,      712,    1000,      711,    300,       710,    10,        0,      0,          0,      0,        ,     ,           ,      ,          ,     ,           3,                5
//1008 Coming soon,
//1009 Coming soon,
1010, Crocotree,       Crocotree,          1,    280,  0,    4,     0,        1,      0,     0,     1,    0,     2,     8,     10,    1,     1,     20,    1,     1,        0,     3,     22,     128,     800,    800,     672,     480,         512,    4200,      513,    3300,      0,      0,         0,      0,         0,      0,         0,      0,         0,      0,         0,      0,          0,      0,        ,     ,           ,      ,          ,     ,           2,                10
1011, PlushroomField,  Plushroom Field,    1,    1,    0,    1,     0,        1,      0,     0,     0,    0,     1,     1,     1,     1,     1,     1,     1,     1,        2,     3,     22,     128,     1000,   800,     672,     480,         515,    7000,      0,      0,         0,      0,         0,      0,         0,      0,         0,      0,         0,      0,         0,      0,          0,      0,        ,     ,           ,      ,          ,     ,           0,                0
1012, Frostiana,       Frostiana,          6,    80,   0,    5,     0,        1,      8,    13,     5,    0,     2,     1,     5,     1,     10,    5,     1,     1,        0,     2,     21,     644,     1000,   2400,    672,     480,         0,      0,         0,      0,         0,      0,         0,      0,         0,      0,         0,      0,         0,      0,         0,      0,          0,      0,        ,     ,           ,      ,          ,     ,           3,                0

